date,match_id,url_match,home,away,home_score,away_score,matchweek
11/4/2026,3799288svdt7jtyvzloemtt04,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3799288svdt7jtyvzloemtt04,Sevilla,Atlético,2,1,31
11/4/2026,35cufmoxi0kf40kxn49gj71g4,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/35cufmoxi0kf40kxn49gj71g4,Barcelona,Espanyol,4,1,31
11/4/2026,363nbiu36arb8us8vuxlizqc4,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/363nbiu36arb8us8vuxlizqc4,Elche,Valencia,1,0,31
11/4/2026,36vy9cu402k8m0goxchkpmpzo,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/36vy9cu402k8m0goxchkpmpzo,Real Sociedad,Alavés,3,3,31
10/4/2026,34m6ahxmkq28k9h8al6i9gsno,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/34m6ahxmkq28k9h8al6i9gsno,Real Madrid,Girona,1,1,31
6/4/2026,32qxs3ohgfo1bgb2g7k7we9zo,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/32qxs3ohgfo1bgb2g7k7we9zo,Girona,Villarreal,1,0,30
5/4/2026,31mkjysd2ypln9u9s88ge8qhg,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/31mkjysd2ypln9u9s88ge8qhg,Alavés,Osasuna,2,2,30
5/4/2026,33hvcbq5xmb0wo3x4r5p3w1ec,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/33hvcbq5xmb0wo3x4r5p3w1ec,Oviedo,Sevilla,1,0,30
5/4/2026,30gnuehy43on5orc9n3sh8pw4,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/30gnuehy43on5orc9n3sh8pw4,Valencia,Celta,2,3,30
5/4/2026,33vcbxcbnojlxdm39q4elkutw,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/33vcbxcbnojlxdm39q4elkutw,Getafe,Athletic,2,0,30
4/4/2026,31zxsexwgw81km23uib95otuc,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/31zxsexwgw81km23uib95otuc,Atlético,Barcelona,1,2,30
4/4/2026,32dgfvl5v0zo942n2e2zihfdg,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/32dgfvl5v0zo942n2e2zihfdg,Betis,Espanyol,0,0,30
4/4/2026,334grr0hqs8zr92mx518hdjpw,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/334grr0hqs8zr92mx518hdjpw,Mallorca,Real Madrid,2,1,30
4/4/2026,317f8nnd5kiqw5pomd91v86j8,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/317f8nnd5kiqw5pomd91v86j8,Real Sociedad,Levante,2,0,30
